name,age,height,income
Emma,22,158,52
Olivia,30,165,59
Ava,25,160,54
Sophia,28,172,62
Isabella,32,155,58
Mia,20,170,47
Harper,26,157,49
Evelyn,27,163,54
Abigail,23,156,50
Emily,24,168,57
Elizabeth,29,165,59
Sofia,22,160,52
Avery,31,162,61
Ella,25,158,55
Scarlett,26,157,50
Grace,30,171,61
Chloe,24,163,56
Victoria,28,167,60
Riley,21,155,48
Zoe,23,162,55
Hannah,26,160,52
Lillian,30,169,61
Natalie,25,158,55
Addison,28,166,60
Layla,32,154,57
Brooklyn,20,172,47
Peyton,26,157,49
Leah,27,163,54
Audrey,23,156,50
Savannah,24,168,57
Alyssa,29,165,59
Aubrey,22,160,52
Kylie,31,162,61
Bella,25,158,55
Claire,26,157,50
Stella,30,171,61
Maya,24,163,56
Gabriella,28,167,60
Skylar,21,155,48
Samantha,23,162,55
Allison,26,160,52
Caroline,30,169,61
Elena,25,158,55
Isabelle,27,163,54
Ariana,32,154,57
Genesis,20,172,47
Ruby,26,157,49
Reagan,31,162,61
Clara,22,160,52
Naomi,23,156,50
Khloe,29,165,59
Annabelle,24,168,57
Alexa,26,157,50
Penelope,30,171,61
Katherine,25,158,55
Autumn,28,166,60
Madeline,21,155,48
Arianna,26,163,54
Kaylee,23,162,55
Adeline,24,168,57
Alexandra,32,154,57
Charlie,26,157,49
Makayla,27,163,54
Cora,20,172,47
Kinsley,30,169,61
Delilah,25,158,55
Katelyn,31,162,61
Valentina,26,160,52
Isabel,22,160,52
Trinity,28,167,60
Rachel,23,156,50
Gabrielle,24,163,56